,rep_0,rep_1
O94832_MYO1D,,
O94851_MICAL2,,
O94854_KIAA0754,0.5,0.47140452079103173
O94864_SUPT7L,,
O94868_FCHSD2,,
O94874_UFL1,0.3333333333333333,0.25
O94875_SORBS2,0.21166010488516726,0.34414481092640925
O94876_TMCC1,0.24743582965269678,0.0
O94880_PHF14,0.9428090415820635,0.75
O94885_SASH1,0.28641098093474,0.10767237928273103
O94886_TMEM63A,,
O94887_FARP2,,
O94888_UBXN7,0.3333333333333333,0.4330127018922193
O94901_SUN1,,
O94903_PLPBP,0.0,0.4330127018922193
O94913_PCF11,0.3535533905932738,0.45825756949558394
O94915_FRYL,0.42857142857142855,0.25
O94921_CDK14,0.2165063509461097,0.5392738882336249
O94923_GLCE,0.0,0.0
O94925_GLS,,
O94929_ABLIM3,0.8819171036881969,0.0
O94956_SLCO2B1,0.3464101615137754,0.0
O94964_SOGA1,0.0,0.0
O94967_WDR47,,0.0
O94979_SEC31A,0.0,0.18426072420945502
O94986_CEP152,,
O94988_FAM13A,0.754983443527075,0.692820323027551
O95049_TJP3,0.30136408628102984,0.27701991930733044
O95071_UBR5,0.5677270907634908,0.25
O95104_SCAF4,0.3525058226889108,0.15745916432444343
O95149_SNUPN,,
O95155_UBE4B,0.6,0.16666666666666666
O95159_ZFPL1,0.6546536707079771,0.24743582965269678
O95171_SCEL,0.7182811591352816,0.4162384387221133
O95183_VAMP5,,
O95197_RTN3,0.8717797887081348,0.5094267081084932
O95208_EPN2,0.4,0.13323467750529827
O95210_STBD1,0.49487165930539345,0.4330127018922193
O95218_ZRANB2,0.4029030966708644,0.39626354032187944
O95232_LUC7L3,,0.47140452079103173
O95239_KIF4A,,
O95248_SBF1,0.8660254037844386,0.24743582965269678
O95251_KAT7,,
O95260_ATE1,,
O95263_PDE8B,0.0,
O95279_KCNK5,0.0,
O95292_VAPB,0.10825317547305485,0.0
O95295_SNAPIN,0.24743582965269678,0.3525058226889108
O95297_MPZL1,0.47140452079103173,0.0
O95336_PGLS,0.0,0.4330127018922193
O95352_ATG7,,0.0
O95359_TACC2,0.28641098093474,0.17625291134445542
O95361_TRIM16,0.282842712474619,0.24743582965269678
O95365_ZBTB7A,0.2695632761738729,0.16666666666666666
O95373_IPO7,0.0,0.0
O95379_TNFAIP8,0.4330127018922193,0.4330127018922193
O95382_MAP3K6,0.282842712474619,
O95391_SLU7,,
O95394_PGM3,0.3525058226889108,0.2939723678960656
O95396_MOCS3,,
O95398_RAPGEF3,,
O95400_CD2BP2,0.2230356427999428,0.2165063509461097
O95402_MED26,0.0,0.47140452079103173
O95405_ZFYVE9,,
O95425_SVIL,0.19444444444444445,0.4160303900488934
O95429_BAG4,,
O95436_SLC34A2,,
O95453_PARN,0.4330127018922193,0.0
O95456_PSMG1,,0.47140452079103173
O95466_FMNL1,0.3741816278312191,0.46453451989391115
O95470_SGPL1,,
O95471_CLDN7,,
O95477_ABCA1,,
O95487_SEC24B,0.4330127018922193,0.3464101615137754
O95490_ADGRL2,0.0,
O95503_CBX6,,
O95544_NADK,0.5,0.57282196186948
O95562_SFT2D2,,
O95573_ACSL3,,
O95600_KLF8,,
O95602_POLR1A,0.7806247497997999,0.4330127018922193
O95613_PCNT,0.5,
O95628_CNOT4,0.0,0.0
O95639_CPSF4,0.4330127018922193,0.4330127018922193
O95644_NFATC1,0.20203050891044216,
O95671_ASMTL,0.2,0.5773502691896257
O95674_CDS2,0.2695632761738729,0.15745916432444337
O95684_CEP43,0.2,
O95685_PPP1R3D,0.3535533905932738,
O95696_BRD1,0.458257569495584,0.3333333333333333
O95714_HERC2,0.3464101615137754,0.7071067811865476
O95747_OXSR1,0.3464101615137754,0.3149183286488868
O95758_PTBP3,0.4330127018922193,0.47140452079103173
O95759_TBC1D8,,
O95772_STARD3NL,0.0,
O95782_AP2A1,0.3149183286488868,0.2165063509461097
O95785_WIZ,0.7071067811865476,
O95793_STAU1,0.4330127018922193,0.282842712474619
O95801_TTC4,,
O95810_CAVIN2,0.08333333333333333,0.27055498516937365
O95817_BAG3,0.29046502318132084,0.17673987832335486
O95819_MAP4K4,0.9428090415820635,0.4330127018922193
O95831_AIFM1,0.3464101615137754,0.8660254037844386
O95833_CLIC3,,
O95835_LATS1,0.3464101615137754,0.5
O95870_ABHD16A,0.47140452079103173,0.0
O95873_C6orf47,,0.0
O95905_ECD,,
O95936_EOMES,0.0,
O95967_EFEMP2,0.26646935501059654,0.5807564950208269
O95977_S1PR4,,
O95983_MBD3,,
O95999_BCL10,,0.0
O96005_CLPTM1,,
O96007_MOCS2,,0.47140452079103173
O96013_PAK4,0.3431742925123068,0.24743582965269675
O96018_APBA3,0.24743582965269678,0.24743582965269678
O96019_ACTL6A,0.0,0.0
P00338_LDHA,,
P00352_ALDH1A1,0.24743582965269678,0.2165063509461097
P00387_CYB5R3,,
P00390_GSR,0.47140452079103173,
P00403_MT-CO2,,
P00441_SOD1,,
P00450_CP,,
P00488_F13A1,,
P00505_GOT2,,
P00519_ABL1,0.5,0.7071067811865476
P00533_EGFR,0.5900968443520823,0.1833030277982336
P00558_PGK1,0.3333333333333333,0.0
P00568_AK1,0.45825756949558394,0.5677270907634908
P00734_F2,,
P00736_C1R,,
P00738_HP,,
P00747_PLG,,0.532938710021193
P00749_PLAU,,
P00751_CFB,,
P00915_CA1,,1.0101525445522108
P01008_SERPINC1,0.34641016151377546,0.10188534162169867
P01009_SERPINA1,1.0897247358851685,0.34641016151377546
P01011_SERPINA3,0.31224989991991986,0.27936303347885116
P01023_A2M,,
P01024_C3,,
P01034_CST3,0.15713484026367724,
P01042_KNG1,0.20462274359206142,0.13024884897419328
P01210_PENK,,
P01266_TG,0.5393262033920321,0.5247975090924706
P01859_IGHG2,,0.692820323027551
P01860_IGHG3,,
P01861_IGHG4,,0.3464101615137754
P01871_IGHM,0.282842712474619,0.4803844614152614
P01876_IGHA1,,0.4330127018922193
P01893_HLA-H,,
P01903_HLA-DRA,,
P02042_HBD,1.0999438818457405,0.5075605663680502
P02144_MB,,
P02452_COL1A1,,0.0
P02461_COL3A1,,
P02511_CRYAB,0.3525058226889108,0.10825317547305485
P02545_LMNA,0.34105495252642937,0.2540686233620459
P02549_SPTA1,,
P02647_APOA1,,
P02649_APOE,0.47140452079103173,0.0
P02652_APOA2,0.3149183286488868,0.5677270907634908
P02654_APOC1,,
P02671_FGA,0.4832805507186771,0.24207671142739223
P02675_FGB,,
P02679_FGG,,
P02686_MBP,0.2727272727272727,0.33071891388307384
P02724_GYPA,0.22329687826943603,
P02730_SLC4A1,0.4040610178208843,0.3916488514345017
P02743_APCS,,
P02748_C9,,
P02749_APOH,,
P02750_LRG1,,
P02751_FN1,0.46398036356916844,0.7173308511673836
P02765_AHSG,0.5740947439983275,0.13031960487828317
P02766_TTR,0.0,0.4330127018922193
P02787_TF,0.532938710021193,0.7183787670373176
P02788_LTF,,
P02790_HPX,0.692820323027551,0.17320508075688776
P02792_FTL,,0.47140452079103173
P02794_FTH1,0.30199337741083,0.7350582636006305
P02808_STATH,,
P04003_C4BPA,,
P04004_VTN,0.5773502691896257,0.5683502535478558
P04035_HMGCR,,
P04040_CAT,,
P04049_RAF1,0.21570955529345004,0.2903782475104135
P04075_ALDOA,,
P04083_ANXA1,0.3098721692015511,0.3549317716125171
P04114_APOB,0.0,0.0
P04150_NR3C1,0.7071067811865476,0.49487165930539345
P04179_SOD2,,
P04233_CD74,0.1992424215198191,0.1992424215198191
P04406_GAPDH,0.05263157894736842,0.3968626966596886
P04626_ERBB2,0.5094267081084932,0.10188534162169867
P04792_HSPB1,0.149567665811167,0.1311109554714178
P04839_CYBB,,
P04920_SLC4A2,0.8454843286542927,0.6298366572977737
P04921_GYPC,,
